Lab Data from MenloSensor
04/20/2015

Sunny day monitoring from about 12:26 PM on

Battery started mostly discharged 12:16 PM

No light flashing due to day/night program

Microcontroller always on at default 8Mhz ceramic resonator
  - No microcontroller power saving programmed as of yet

Radio on new power control program with radio power off after
250ms.

30 second update rate that automatically powers on the radio,
reads the sensors and sends the data update.

Need current measurements for:

  - In radio power off state

  - 70-85ma with radio powered on from previous testing

600ma hour single cell AA NiCD battery 1.25v

In the past can expect the device go shutoff when battery
gets below 0.90v
2015/04/20 14:04:58: 03E1.01B1.020F.015A.0000 battery 1.397V solar 1.700V 
2015/04/20 14:05:28: 03E1.01B7.020F.0163.0000 battery 1.416V solar 1.700V 
2015/04/20 14:05:58: 03E1.01BC.0210.015B.0000 battery 1.432V solar 1.703V 
2015/04/20 14:06:28: 03E1.01BB.020D.0163.0000 battery 1.429V solar 1.694V 
2015/04/20 14:06:58: 03E0.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 14:07:28: 03E0.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 14:07:58: 03DF.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 14:08:28: 03E0.01BB.020F.015E.0000 battery 1.429V solar 1.700V 
2015/04/20 14:08:58: 03DF.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 14:09:28: 03E1.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 14:09:58: 03E2.01B0.0201.0162.0000 battery 1.394V solar 1.655V 
2015/04/20 14:10:28: 03E1.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 14:10:58: 03E1.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 14:11:27: 03E1.01B7.020E.0162.0000 battery 1.416V solar 1.697V 
2015/04/20 14:11:57: 03E2.01BA.0208.0162.0000 battery 1.426V solar 1.677V 
2015/04/20 14:12:27: 03E0.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 14:12:57: 03E1.01BA.020D.0163.0000 battery 1.426V solar 1.694V 
2015/04/20 14:13:27: 03E1.01BA.0209.0162.0000 battery 1.426V solar 1.681V 
2015/04/20 14:13:57: 03E1.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 14:14:27: 03E1.01B3.020E.015B.0000 battery 1.403V solar 1.697V 
2015/04/20 14:14:57: 03E0.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 14:15:27: 03E2.01B4.0204.0162.0000 battery 1.406V solar 1.665V 
2015/04/20 14:15:57: 03E1.01BB.020D.0162.0000 battery 1.429V solar 1.694V 
2015/04/20 14:16:27: 03E1.01BA.020E.0162.0000 battery 1.426V solar 1.697V 
2015/04/20 14:16:57: 03E3.01B5.020A.0162.0000 battery 1.410V solar 1.684V 
2015/04/20 14:17:27: 03E3.01B2.0203.0162.0000 battery 1.400V solar 1.661V 
2015/04/20 14:17:57: 03E1.01BB.020F.015D.0000 battery 1.429V solar 1.700V 
2015/04/20 14:18:27: 03E1.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 14:18:57: 03E2.01BB.0207.0163.0000 battery 1.429V solar 1.674V 
2015/04/20 14:19:27: 03E2.01B7.020E.0163.0000 battery 1.416V solar 1.697V 
2015/04/20 14:19:57: 03E0.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 14:20:27: 03E1.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 14:20:57: 03E1.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 14:21:27: 03E1.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 14:21:57: 03E1.01BC.0210.015D.0000 battery 1.432V solar 1.703V 
2015/04/20 14:22:27: 03E2.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 14:22:57: 03E1.01BC.0210.0162.0000 battery 1.432V solar 1.703V 
2015/04/20 14:23:26: 03E2.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 14:23:56: 03E1.01BC.0210.0164.0000 battery 1.432V solar 1.703V 
2015/04/20 14:24:26: 03E3.01B9.0210.0163.0000 battery 1.423V solar 1.703V 
